Label,Text
1,"Son : Hey dad ! I get a girlfriend ! Dad : Nice son , be she hot ? Son : Hell yeah ! Girl : Hey Dad ! I get a boyfriend ! Dad : * Load shotgun *"
1,Yay Saturday will be so much fun omg cannot wait smiling face with smiling eyes smiling face with smiling eyes smiling face with smiling eyes
1,"@user @user just admit your bald, and stop fake tan you look ridiculous . Older men be sexy, go natural"
0,"Man , I love my family"
0,Lol it be so funny when my dad start race with these other car
0,"A the sub zero temperature arrive this weekend , make sure you dress accordingly for rid . Get those layer on and stay safe !"
1,I wake up next to my girl without make up & think I cheat on her .
0,Lol they play the warrior game at practice
0,i do not know how to feel about these bandwagon stans like i be glad that J be adore by the GP again but i be go to need some of these hoe to fall back
1,@user ... Oh YES I just do ! winking face with tongue beaming face with smiling eyes I Be A Cunt Cold Blood Bitch Hahaha NOT
0,@user know how to stop house discrimination because of how many time he be commit it . Why be not that part of his pitch ?
1,"When a white girl be drink she will hit you , hate you , love you and suck your dick all in the same 22 minute"
0,I cannot wait to be do with high school it be honestly so old
0,I want to boyfriend who tell me I be more than gorgeous lol
0,"Taste w you be eye , ear , lip & touch 2 know deep satisfaction & understand . Dream Peace . Jane Bernrd RT"
0,@user Not until you feel the sting of disappointment when your roommate express apathy towards your favorite thing
0,@user it be cool see Rob on the show tell him I say congratulation on become a father
1,I absolutely love walk behind smoker ... Not You Nasty
0,@user love how @user bring so many family's together ! Simply magical :) Mangia Moment
0,Investigator say this van be the 3rd fire intentionally set overnight in Auburn
0,Game of Throne tease Jon Snow return
0,I be a better look person with short hair but I feel like I look closer to a serial killer with it
1,WAIT HOLY SHIT TOMORROW BE THE LAST DAY OF SCHOOL BEFORE BREAK AND I HAVE ZERO TEST AND NO HOMEWORK FUCK I LOVE MY LIFE
0,hoe so quick to jump on the bandwagon lmaoo
0,Wake up to this amaze poster of Bajirao Mastani . Love the look in priyanka's eye !
0,"Anyways , he tell me to go home first cuz he might finish late ... Bore ."
1,Oh well . No sense in get upset about it
1,"@user Rich , best if you stick to under water water basket weave . Jk , love your work ."
0,Eagle backup QB Lewis look forward to dress on Sunday via @user
0,All of the best (and worst ) car on the floor at this year's LA Auto Show
0,@user i think i be probably go to wake up late tomorrow but who care
0,Lmao this shit switch side real quick
1,sometimes it be better to lose an argument than lose someone you love
1,welcome back sinus & double ear infection . you be miss . NOT NOTA GAIN Get Me Out Of Here
0,"Some love story be not epic novel , some be short story . But that do not make them any less fill with love sex and the city"
0,"Anyone else want to let me know they get a Cardiff ticket , that would be fantastic thank ..."
0,"! "" @user : Practice be cancel would be a gift from god """
0,back in this bitch & i be back on my shit man they tell me be humble i be cocky a hell
1,"@user so Hunt be hide it , but luckily @user £350m extra a week brexit pledge will save the @user , right ? right ?"
0,Tacoma update and also I need to charge my phone .
0,Oldie 104 - Stream Your Favorite ! be now play Endless Sleep
1,See someone slowly lose interest in you be one of the worst thing ever
0,@user you all ever think about get Danny Phantom a a property ? I would buy the hell out of that comic .
0,"@user If that mean you promise to move to the UK forever and never come back, I promise to vote for you . @user"
0,Odd sock . Neither of which have the correct day on them . THAT BE how I roll . rebel odds o
0,"We be here because of rid . Rid bring u together . "" Inside the mind of a rider @user"
1,"I think the best personality trait a person can have be when they be both ungrateful AND self entitle , it be just awesome . not enraged face"
1,OMG wake up to see this . You just make my day great ! Thanx smiling face with smiling eyes love them sooo much Deyna Forever Nashville
1,RT Guess the country - Every city have atleast 10 engineer college ! An : INDIA * bingo *
1,"* wear a dress * "" Who you look good for ? "" Me : no one , I be too lazy to match 2 piece of clothe so here I be"
1,"Pokemon Go have officially be download more time than Tinder . Think about that , a game app have surpass an app that can get you lay !"
1,sexy Saturday happy birthday tome not hurt
1,Realtree Romeo and genuine gent be literally the biggest piece of shit I have ever see on twitter . Not Sorry
1,"If people want bareback , they do not have any problem with HI . Some people love bareback . I would not want it no other way ."
0,Yummy @user @user @user Veg Newsletter zucchini
1,On the bus so bore American Dream not
1,Always love sleep in and miss the bus face with tears of joy face with tears of joy worried face
0,"The @user Heisman House be open at @user Fan Fest . TD celebration , ou's winner , pic with the trophy & more !"
0,Ulster bank provide generous ? 25 incident credit to all those out of pocket for week ! sham Ulster Bank
0,World Turn by @user - World/Fusion Filmmaking Royalty Free Music
0,I could really careless about you .
1,If you force a hocker to have sex with you be that consider rape ? Or shoplift
0,@user I have be on a win streak smiling face with smiling eyes
0,Nothing like a little Biochem in the morning
0,Listen to Smoke One (Prod . by Astray ) by Hatch on Sound Cloud Flaatflaat
1,Should we follow our president on insta ? not @user hahaha
0,We have have such a fantastic day today . LO be 3 ! We have a big party with friend and family . Feel very bless today smiling face with smiling eyes
